지역별,지역내총생산(당해년가격),구성비,연중인구,1인당 지역내총생산,수준지수(서울특별시=100),재산세
종로구,27929070,8.1,163822,17048,509.69,37036740
중구,47887993,13.9,134329,35650,1065.8,52642547
용산구,9871373,2.9,247909,3982,119.04,38116748
성동구,9673958,2.8,305065,3171,94.81,24212208
광진구,5592832,1.6,375180,1491,44.57,22379658
동대문구,6688724,1.9,373824,1789,53.49,21255471
중랑구,3755466,1.1,418620,897,26.82,13855349
성북구,4938574,1.4,469560,1052,31.44,20682890
강북구,2618309,0.8,334426,783,23.41,11351533
도봉구,2636029,0.8,353241,746,22.31,11346627
노원구,5012188,1.5,578221,867,25.92,19555950
은평구,3491843,1,502578,695,20.77,18873680
서대문구,7227343,2.1,323105,2237,66.87,17387913
마포구,15763646,4.6,398351,3957,118.31,35942217
양천구,5697533,1.7,489010,1165,34.83,26580965
강서구,9627187,2.8,595691,1616,48.32,37564930
구로구,11163275,3.2,454604,2456,73.41,22265873
금천구,13735602,4,256167,5362,160.3,15820126
영등포구,26770448,7.8,417811,6407,191.56,42035952
동작구,4892610,1.4,412774,1185,35.44,21540475
관악구,5196230,1.5,529031,982,29.36,20425002
서초구,28442584,8.3,451258,6303,188.44,101423196
강남구,57968609,16.8,581760,9964,297.9,181036628
송파구,20858285,6.1,667480,3125,93.42,85832870
강동구,6986297,2,463321,1508,45.08,31759031
