지역,인구,가족,건강,교육,주거와 교통,성장과 안정,안전,환경,문화,사회통합
강남구,0.4350826939328247,0.3503082779356854,0.4756169587461393,0.41770579708152145,0.5835361022335386,0.45389045763532504,1.0,0.18999137267663976,0.0830945558739255,0.34717725289172946
강동구,0.3642291544205456,0.24691482433577705,0.3036622486255777,0.22680659581451934,0.5484537685636129,0.13433349463400354,0.3295133479403341,0.16090975040085695,0.025787965616045846,0.43471904673446743
강북구,0.399705032077919,0.31214691114036774,0.44694579822344205,0.2191883068836759,0.34314356920433875,0.05991026460373039,0.23127100918688576,0.5267260579064588,0.04558478770513155,0.6542648623302049
강서구,0.6393722109759602,0.6135790688503101,0.371704422213393,0.385954599344293,0.49177051562033636,0.024905788023206903,0.3843276544726713,0.18287404277389635,0.03230007814535035,0.4586306040811435
관악구,0.589211278885265,0.5081493963967372,0.3816267782265037,0.2994105545027749,0.321407730859754,0.0994323729794936,0.6340815934204216,0.29961304166539543,0.025787965616045846,0.4774525950967714
광진구,0.4327825501340849,0.3440026895964984,0.3901809806976528,0.47852165156347665,0.3178780199093009,0.21122080616328795,0.2933097773716011,0.13046178214398307,0.039854128679343584,0.38681657988702595
구로구,0.6241071090823145,0.29900991510759756,0.2849255888760273,0.4096018590731608,0.39276312693514415,0.1515383574694288,0.44540780033244776,0.17481537697504687,0.05496222974733003,0.45722963443278153
금천구,0.5377795850279751,0.3864168612875192,0.42484689072566584,0.33492810565724684,0.3419152538350164,0.25347687871591795,0.30952221402187174,0.29138360910258887,0.0408960666840323,0.5774701251670146
노원구,0.4305339636292167,0.41974407060212443,0.46686998734318014,0.6506350496375393,0.4676115002847377,0.00638094252532382,0.587086358181204,0.38138574474648546,0.04271945819223756,0.6797417909922133
도봉구,0.39218977931728827,0.31089919816497114,0.3695961791283755,0.3371312751833912,0.4348790768477527,0.11054478046792782,0.010830324909747297,0.4395822527992189,0.0489710862203699,0.7613603878139621
동대문구,0.48930903030290823,0.3585703877418475,0.49529726693135606,0.574368191606792,0.40361498354369213,0.15495154925402874,0.3243105893882343,0.04426355032153305,0.06147434227663455,0.47775523205668496
동작구,0.45751696908311873,0.399239360469432,0.29075311875863,0.43574446207100537,0.3770243356876377,0.08857308710654765,0.1843121600552099,0.1887366818873668,0.020317791091430063,0.42530469156254164
마포구,0.5101461307581472,0.3170714166073266,0.364107981683011,0.408251885956767,0.40956763361281856,0.2536087209326698,0.39338339859586013,0.1280780391399118,0.04871060171919771,0.4045752103590376
서대문구,0.431792246955249,0.2493899177847374,0.4813208886241037,0.5658882869580142,0.38104383231096206,0.19078977686422957,0.14894410548090004,0.21609495818544844,0.09169054441260746,0.44598927290941665
서초구,0.3906795383621527,0.24094359788522154,0.38839726491254856,0.18588043777920898,0.6085237623244039,0.4085398638240312,0.5096690016440457,0.3826342913221669,0.05626465225319094,0.30045874455467414
성동구,0.4888955985829298,0.20453962205858334,0.3274433850430704,0.3899760916553954,0.37359562959157966,0.2565687936765933,0.2487231508428539,0.41625055509791753,0.09742120343839542,0.4678641942193234
성북구,0.42360257324868383,0.32166430897321846,0.43210161990206225,0.6309805232797809,0.3740346199025342,0.10379344456918575,0.4229809197316403,0.28583623170719297,0.06538160979421724,0.46737008283965936
송파구,0.5216604628176262,0.3932245454414405,0.3644767143157164,0.3665126176907623,0.48542493825176564,0.21059005545542356,0.37983609271422775,0.21772508161210608,0.04584527220630373,0.31822268930520653
양천구,0.3999198628728639,0.31076098539878466,0.341183139642933,0.37960990414718626,0.400792211848777,0.11706503320799572,0.15655971778934993,0.1356159298695223,0.012242771555092475,0.553204563104976
영등포구,0.6535454494859118,0.30023472074767527,0.4478331504447228,0.3417298940970818,0.4206291307105726,0.32009266343492326,0.5019322539192387,0.22801600376958092,0.04350091169575411,0.5245867549681743
용산구,0.43385067553603324,0.3370733159818553,0.3607936764714595,0.3310840609071353,0.29812990685761565,0.2952329219347845,0.1711011224507742,0.026726057906458794,0.13102370408960665,0.3885762221655618
은평구,0.49876495532318815,0.5404987180075647,0.36431977559593415,0.3048215242734852,0.42872310391410884,0.011649565256580846,0.3986125370759275,0.40263264721535763,0.037509768168793964,0.5064731189261917
종로구,0.32302320844008453,0.1612371017393039,0.4973898871788634,0.49207419281519355,0.3408198922641863,0.6475796001254422,0.33478357240016715,0.5046291352676164,0.9999999999999999,0.43299307549412996
중구,0.4316848210016939,0.14610799328361615,0.42166805103711263,0.41671375042389885,0.3770106377797844,0.9843137254901961,0.23024613382446496,0.7210806697108068,0.4719979161239906,0.31639336501054344
중랑구,0.5109545589356965,0.4288722733298396,0.4248330090367167,0.347721604510735,0.39702829097581144,0.0826040258742471,0.34508538909787323,0.24908853769411476,0.0,0.5366959144103269
