,지역,수준지수(서울특별시=100),재산세 수준지수(서울특별시=100)
1,종로구,509.69,250.06
2,중구,1065.8,433.46
3,용산구,119.04,170.06
4,성동구,94.81,87.79
5,광진구,44.57,65.98
6,동대문구,53.49,62.89
7,중랑구,26.82,36.61
8,성북구,31.44,48.72
9,강북구,23.41,37.54
10,도봉구,22.31,35.53
11,노원구,25.92,37.41
12,은평구,20.77,41.53
13,서대문구,66.87,59.53
14,마포구,118.31,99.8
15,양천구,34.83,60.13
16,강서구,48.32,69.75
17,구로구,73.41,54.18
18,금천구,160.3,68.31
19,영등포구,191.56,111.28
20,동작구,35.44,57.71
21,관악구,29.36,42.71
22,서초구,188.44,248.6
23,강남구,297.9,344.2
24,송파구,93.42,142.23
25,강동구,45.08,75.82
